Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Month,VisitorType,Weekend,Revenue
3,95.76021204353265,0,4.751626565906069,78,1383.0523884373379,0.0,0.00322410472869903,18.600968742407808,0.0,1,2,4,2,May,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.0,0.08332052742501747,0.09182970309093341,0.0,0.0,3,5,1,6,Nov,Returning_Visitor,False,False
2,59.545914299546766,1,0.0,0,0.0,0.06590191010817263,0.05738892720534989,18.632822938761944,0.09588688294522765,1,2,3,1,Jul,Returning_Visitor,True,False
3,0.0,1,0.0,45,662.8270940630148,0.016592408143853855,0.008787859681452395,63.62010501495664,0.07013854497996393,3,6,2,8,Dec,Returning_Visitor,True,True
0,141.15809030484343,0,0.0,2,0.0,0.026410391277908025,0.07139626811167658,0.0,0.0,2,1,1,6,May,Returning_Visitor,True,False
0,277.260289563932,0,100.83224278252288,51,2488.697434284937,0.03613313290154464,0.028005026087999364,0.0,0.005936154353082382,3,4,5,1,Mar,New_Visitor,False,False
4,102.04714509204163,3,74.10752816526887,44,577.4829998960436,0.0,0.009222153360372923,0.0,0.0,1,4,1,8,Nov,New_Visitor,False,True
5,0.0,0,29.186045768904936,59,2179.0463679128106,0.07875706552960945,0.07310069178574027,3.2273355452583496,0.28809844702449666,2,1,1,1,May,New_Visitor,False,False
5,0.0,1,0.0,96,3506.061183520006,0.0,0.009616631494023881,50.82230845467298,0.0,3,3,1,7,Nov,Returning_Visitor,False,True
5,362.79208513872976,0,15.395814709763293,76,3258.643003410172,0.0,0.023724336924245762,1.8125584531816226,0.04181055287156943,2,1,2,1,May,Returning_Visitor,False,False
